Num: b0=0 b1=0 b2=1 b3=ffffffb0 size=4
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  IAPC  [sp2d]  (bytes 04 d7)
  IAPc  [ui16]  33 (bytes 00 21)
  IC0C  [sp87]  (bytes 01 18)
  IC0R  [sp4b]  (bytes 05 dc)
  IC0c  [ui16]  150 (bytes 00 96)
  IC0r  [ui16]  15 (bytes 01 0f)
  IC1C  [sp5a]  (bytes 0f fc)
  IC1c  [ui16]  72 (bytes 04 48)
  IC2C  [sp5a]  (bytes 04 63)
  IC2c  [ui16]  25 (bytes 01 19)
  ID0R  [sp5a]  (bytes 04 a2)
  ID0r  [ui16]  58 (bytes 01 3a)
  ID1R  [sp5a]  (bytes 00 9d)
  ID1r  [ui16]  41 (bytes 00 29)
  IH1R  [sp2d]  (bytes 06 51)
  IH1r  [ui16]  250 (bytes 00 fa)
  IH2R  [sp2d]  (bytes 03 39)
  IH2r  [ui16]  121 (bytes 00 79)
  IM0C  [sp5a]  (bytes 01 db)
  IM0c  [ui16]  116 (bytes 00 74)
  IN0R  [sp69]  (bytes 00 0a)
  IN0r  [ui16]  0 (bytes 00 00)
  IN1R  [sp5a]  (bytes 06 6e)
  IN1r  [ui16]  205 (bytes 01 cd)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  12 (bytes 00 0c)
  LC2E  [ui16]  12 (bytes 00 0c)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  10 (bytes 0a)
  LCKN  [ui8 ]  239 (bytes ef)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  160 (bytes a0)
  LCTQ  [ui8 ]  163 (bytes a3)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 00 00)
  LS!   [ui8 ]  0 (bytes 00)
  LSCF  [{lsc]  (bytes dc 05 90 01 00 80 01 4c 00 1b)
  LSDD  [{lsd]  (bytes 02 00 03 00 03 00 19 00)
  LSDU  [{lsd]  (bytes 03 00 02 00 14 00 03 00)
  LSFD  [{lsf]  (bytes 00 00 04 00 80 00)
