Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GTHR  [ui8 ]  0 (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HD0F  [ui8 ]  0 (bytes 00)
  HD0I  [{hdi]  (bytes 02 03 01 02 03 03 06 31 01 00 00 0b 00 00)
  HD0M  [ui8 ]  0 (bytes 00)
  HD0T  [ui16]  0 (bytes 00 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 03 00 03)
  HT0A  [sp78]  (bytes 54 00)
  HT0B  [sp78]  (bytes 54 00)
  HT0C  [sp78]  (bytes 00 00)
  IAPC  [sp4b]  (bytes 00 06)
  IB0P  [sp5a]  (bytes 36 66)
  IB0r  [ui16]  62 (bytes 00 3e)
  IBLC  [sp1e]  (bytes 17 75)
  IC0C  [sp87]  (bytes 04 a7)
  IC0R  [sp4b]  (bytes 02 ab)
  IC0r  [ui16]  84 (bytes 01 54)
  IC1C  [sp69]  (bytes 00 b3)
  IC2C  [sp69]  (bytes 01 52)
  IC3C  [sp4b]  (bytes 00 00)
  ID0R  [sp3c]  (bytes 0e 18)
  ID0r  [ui16]  227 (bytes 03 e3)
  IG0C  [sp69]  (bytes 00 21)
  IG0R  [sp4b]  (bytes 00 09)
  IG0r  [ui16]  3 (bytes 00 03)
  IG1C  [sp4b]  (bytes 00 00)
  IG2C  [sp4b]  (bytes 00 00)
  IG3C  [sp4b]  (bytes 00 00)
  IHDC  [sp4b]  (bytes 00 2a)
  IHSC  [sp4b]  (bytes 00 00)
  IHSc  [ui16]  0 (bytes 00 00)
  ILDC  [sp4b]  (bytes 00 00)
  IM0C  [sp5a]  (bytes 00 c6)
  IN0C  [sp69]  (bytes 00 82)
  IO0R  [sp4b]  (bytes 03 99)
  IO0r  [ui16]  179 (bytes 00 b3)
  IPBR  [sp5a]  (bytes 01 1e)
  ISBC  [sp4b]  (bytes 11 8e)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  21 (bytes 1d 15)
  LC2E  [ui16]  21 (bytes 1d 15)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  14 (bytes 0e)
  LCCQ  [ui8 ]  14 (bytes 0e)
  LCKA  [ui8 ]  66 (bytes 42)
  LCKN  [ui8 ]  214 (bytes d6)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  198 (bytes c6)
  LCTN  [ui8 ]  10 (bytes 0a)
  LCTQ  [ui8 ]  58 (bytes 3a)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
